HUC8,Year,Month,PPT,TMAX,USDM
7080106,2017,5,0.648238963,0.538460766,0
7080106,2017,6,-0.359015444,1.236051504,0
7080106,2017,7,-0.589285565,1.350337972,0.818458646
7080106,2017,8,0.397094946,1.018965383,0.948875979
7080106,2017,9,-0.611911003,1.038976353,1.01143667
7080106,2017,10,0.674056682,0.265894409,0.397105049
7080106,2017,11,-1.071843104,-0.576741307,0.195728439
7080106,2017,12,-1.155564463,-1.171201073,0.195728439
7080106,2018,1,-0.894816775,-1.527036372,0.197945609
7080106,2018,2,-0.513554477,-1.369968173,0.217679006
7080106,2018,3,-0.001446432,-0.721432169,0.2179375
7080106,2018,4,-0.965625104,-0.360813367,0.240588685
7080106,2018,5,0.562077374,1.006529065,0.134237674
7080106,2018,6,1.836086224,1.204925361,0
7080106,2018,7,0.538533527,1.229770859,0.01768046
7080106,2018,8,0.909487951,1.199124672,0.161031796
7080106,2018,9,3.3279282,0.874386206,0
7080106,2018,10,1.251392282,0.030642246,0
7080106,2018,11,-0.186783766,-0.999766143,0
7080106,2018,12,-0.414141144,-1.058623317,0
7080106,2019,1,-0.441624336,-1.529604712,0
7080106,2019,2,-0.108485836,-1.61901285,0
7080106,2019,3,-0.473767655,-0.89257131,0
7080106,2019,4,-0.145237786,0.133064257,0
7080106,2019,5,3.128282449,0.391769921,0
7080106,2019,6,0.693940323,1.019632137,0
7080106,2019,7,-0.339085588,1.328566857,0
7080106,2019,8,0.497877742,1.04991019,0.133388061
7080106,2019,9,0.962758554,0.967930365,0.113487319
7080106,2019,10,0.965362795,-0.021884197,0
7080106,2019,11,-0.766972659,-0.816888429,0
7080106,2019,12,-0.80246121,-0.881894466,0
7080106,2020,1,-0.535333117,-1.334971219,0
7080106,2020,2,-1.237455934,-1.18200513,0
7080106,2020,3,0.093403897,-0.391510119,0
7080106,2020,4,-0.635798315,0.002342623,0
7080106,2020,5,0.410079261,0.421395013,0
7080106,2020,6,1.926008645,1.159218432,0
7080106,2020,7,-0.502267082,1.336247254,0.032717991
7080106,2020,8,-0.987633379,1.264421684,0.637969745
7080106,2020,9,0.636679534,0.732002085,0.859246162
7080106,2020,10,-0.240249526,-0.059370027,0.448878785
7080106,2020,11,-0.053146174,-0.174899147,0
7080106,2020,12,-0.610098016,-1.080397214,0
7080106,2021,1,-0.604634376,-1.397985389,0
7080106,2021,2,-0.999108044,-1.901676144,0
7080106,2021,3,-0.147843682,-0.31548097,0
7080106,2021,4,-0.799253846,0.105655698,0.133207071
7080106,2021,5,0.572661781,0.512935778,0.507230409
7080106,2021,6,0.472522947,1.278074918,0.597120485
7080106,2021,7,0.357881074,1.202171443,0.63952063
7080106,2021,8,0.274762525,1.294601951,0.540456344
7080106,2021,9,-0.807340111,1.087915102,0.730494513
7080106,2021,10,1.355649903,0.390798323,0.992738065
7080106,2021,11,-0.785403721,-0.42144571,0.144789649
7080106,2021,12,-0.915029932,-0.720828546,0
7080106,2022,1,-0.891934604,-1.65261243,0
7080106,2022,2,-1.24195545,-1.235060047,0.071251158
7080106,2022,3,0.103997568,-0.509610262,0.076001235
7080106,2022,4,0.300274254,-0.201369824,0
7080106,2022,5,-0.118158725,0.683682555,0
7080106,2022,6,-0.108302602,1.216662461,0
7080106,2022,7,-0.380497092,1.300026212,0.258443022
7080106,2022,8,-0.127415535,1.248246092,1.663214616
7080106,2022,9,-0.233864648,0.950809827,1.748547613
7080106,2022,10,-0.729079132,0.307577963,1.963093935
7080106,2022,11,0.139019429,-0.470013895,1.054924083
7080106,2022,12,-0.600249713,-1.361632725,1.054924083
7110001,2012,1,-1.097738159,-0.914680288,0
7110001,2012,2,-0.742020054,-0.743128863,0
7110001,2012,3,-0.691093735,0.316033559,0
7110001,2012,4,0.304480956,0.38074221,0
7110001,2012,5,0.281548841,0.99932388,0.051766639
7110001,2012,6,-0.274085583,1.255956545,1.243999481
7110001,2012,7,-0.601864966,1.744203693,2.453235595
7110001,2012,8,-0.623672252,1.393892016,2.726567343
7110001,2012,9,0.132481303,0.910515953,1.931785091
7110001,2012,10,0.623812943,0.249929665,1.617362222
7110001,2012,11,-0.645086052,-0.32322301,0.982719226
7110001,2012,12,-0.54386674,-0.804990963,0.995632055
7110001,2013,1,-0.329723663,-1.038723178,0.97074774
7110001,2013,2,-0.192512868,-1.079747802,0.90743704
7110001,2013,3,-0.170070541,-0.869853586,0
7110001,2013,4,2.027166377,0.0133322,0
7110001,2013,5,2.801836915,0.665908714,0
7110001,2013,6,-0.044002678,1.071887118,0
7110001,2013,7,-0.334524394,1.246776799,0
7110001,2013,8,-1.243483368,1.297530995,0.619271577
7110001,2013,9,-0.311045658,1.143548657,1.585308279
7110001,2013,10,-0.213221312,0.316436757,1.391771541
7110001,2013,11,-0.396101733,-0.529789075,0.727486341
7110001,2013,12,-0.849216085,-1.24008568,0.727486341
7110001,2014,1,-0.993884796,-1.432980257,0.727486341
7110001,2014,2,-0.135467155,-1.61263569,0.567422047
7110001,2014,3,-0.864940927,-0.701824477,0.101922328
7110001,2014,4,0.512506981,0.221993853,0
7110001,2014,5,-0.27455582,0.71309275,3.60E-06
7110001,2014,6,2.044266513,1.121304406,0
7110001,2014,7,1.036146699,1.052142487,0
7110001,2014,8,1.410317791,1.135308052,0
7110001,2014,9,1.022869783,0.807464412,0
7110001,2014,10,0.744499369,0.251562007,0
7110001,2014,11,-0.834980211,-0.776660558,0
7110001,2014,12,-0.973101554,-0.999003372,0
7110001,2015,1,-0.988802821,-1.224114592,0
7110001,2015,2,-0.582636358,-1.514349267,0
7110001,2015,3,-1.006439682,-0.415062135,0
7110001,2015,4,-0.344097616,0.3954583,0
7110001,2015,5,1.069876133,0.693063625,0
